"##### TRANSLATION STRINGS #####" = "# # # # # # Strings DỊCH # # # #"

"##### Example: original string = your-translation-here #####" = "# # # # # Ví dụ : chuỗi ban đầu của bạn = - dịch - đây # # # # #"



"(Optional) Specify how many emails you wish to send with this mail connection before looking for the next connection. If you only have one mail connection this setting does not matter." = "(Tùy chọn) Chỉ định bao nhiêu email bạn muốn gửi email với kết nối này trước khi tìm kiếm các kết nối tiếp theo . Nếu bạn chỉ có một kết nối email thiết lập này không quan trọng."

"(Optional) This option will automatically pause your mailing after a certain number of messages.  This helps reduce your mail servers load.)" = "(Tùy chọn) Tùy chọn này sẽ tự động tạm dừng gửi thư của bạn sau khi một số lượng nhất định của tin nhắn. Điều này giúp giảm tải máy chủ mail của bạn. )"

"(Optional) You can specify a limit of the number of emails to send in a certain time period. (Example = Only allow 1,000 emails per hour)" = "(Tùy chọn) Bạn có thể chỉ định một giới hạn số lượng email gửi trong một khoảng thời gian nhất định. (Ví dụ = Chỉ cho phép 1.000 email mỗi giờ)"

"Attachments will be disabled." = "File đính kèm sẽ bị vô hiệu ."

"Both values should be given as CSS values; 100% would be 100% of the allowed area for the editor, or 600px for 600 pixels." = "Cả hai giá trị này nên được đưa ra như là các giá trị CSS ; 100% sẽ là 100 % diện tích cho phép các biên tập viên, hoặc 600px cho 600 điểm ảnh."

"Brief Description for you to recognize. Does NOT affect your actual form." = "Mô tả tóm tắt để bạn có thể nhận ra. KHÔNG ảnh hưởng đến hình thức thực tế của bạn ."

"Brief Description for you to recognize. Does NOT affect your actual personalization tag." = "Mô tả tóm tắt để bạn có thể nhận ra. KHÔNG ảnh hưởng đến thẻ cá nhân thực tế của bạn ."

"Brief Description for you to recognize. Does NOT affect your actual template." = "Mô tả tóm tắt để bạn có thể nhận ra. KHÔNG ảnh hưởng đến mẫu thực tế của bạn ."

"Ctrl + click (or click and drag) to select/de-select items." = "Ctrl + click (hoặc nhấn và kéo) để lựa chọn / mục de- chọn ."

"Enter a brief description for this bounce code here." = "Nhập một mô tả ngắn gọn cho mã trả này ở đây."

"Enter the character set that will be used on pages where you wish to put this form." = "Nhập các ký tự sẽ được sử dụng trên các trang mà bạn muốn đặt hình thức này ."

"Extra users that were not part of the sync will be removed." = "Người sử dụng bổ sung mà không là một phần của đồng bộ sẽ được gỡ bỏ ."

"GD Library is needed to generate images from the application. Most common (and useful) use are CAPTCHA images." = "GD Thư viện là cần thiết để tạo ra hình ảnh từ ứng dụng. Phổ biến nhất ( và hữu ích ) sử dụng những hình ảnh CAPTCHA."

"Header needs to be in format 'HEADER-NAME: HEADER VALUE'" = "Tiêu đề cần phải được ở định dạng ' HEADER - Tên: HEADER VALUE'"

"Hide version to all users besides user admin? If selected, the version will NOT be visible in the control panel." = "Ẩn phiên bản cho tất cả người dùng ngoài việc sử dụng quản trị ? Nếu được lựa chọn , phiên bản sẽ không được hiển thị trong bảng điều khiển ."

"If Read/Open Tracking is on, tracker image will not be embeded - subscribers will still be prompted to download images." = "Nếu đọc / mở theo dõi là trên , hình ảnh theo dõi sẽ không được embeded - thuê bao vẫn sẽ được nhắc nhở để tải về hình ảnh."

"If authentication is not required, do not enter a password." = "Nếu xác thực là không cần thiết , không nhập mật khẩu."

"If authentication is not required, do not enter a username." = "Nếu xác thực là không cần thiết , không nhập tên người dùng ."

"If selected, the software will disable most functions such as deleting, sending and more." = "Nếu được lựa chọn , phần mềm sẽ vô hiệu hóa hầu hết các chức năng như xóa , gửi và nhiều hơn nữa ."

"If subscriber views the text version, his read/open will be logged if he clicks any tracked links in the message.\nIf HTML version is open, read/open will be logged if images are downloaded as well." = "Nếu thuê bao xem việc phiên bản văn bản, đọc của ông / mở sẽ được lưu lại nếu anh ta nhấp chuột bất kỳ liên kết theo dõi trong tin nhắn. \ NNếu phiên bản HTML được mở ra, đọc / mở sẽ được lưu lại nếu hình ảnh được tải về là tốt ."

"If the URL is used, it has to start with http:// or https:// . Otherwise, a file path will be assumed. If a path starts with './', the application folder will be assumed." = "Nếu URL được sử dụng , nó phải bắt đầu bằng http:// hoặc https:// . Nếu không, một đường dẫn tập tin sẽ được giả định. Nếu một con đường bắt đầu với ' . / ' , Thư mục ứng dụng sẽ được giả định."

"If this option is checked, the person filling the form will not be able to proceed with form submission unless the field has some value entered." = "Nếu tùy chọn này được chọn, người điền vào các mẫu sẽ không thể tiến hành hình thức trình trừ khi trường có một số giá trị nhập vào ."

"If you check this option, one hour will be added to the normal GMT offset your time zone uses." = "Nếu bạn kiểm tra tùy chọn này, một giờ sẽ được thêm vào các giờ GMT bình thường bù đắp múi giờ của bạn sử dụng ."

"If your mail transfer agents does not include the code in form 5.X.X., enter a string that should be matched so this Bounce Code can be assigned.\n(example: ' returned: Unknown User')" = "Nếu các đại lý chuyển thư của bạn không bao gồm các mã trong hình thức 5.xx , nhập một chuỗi ký tự phải được xuất hiện vì vậy đây Mã Thoát có thể được gán \ n (ví dụ: ' trở lại : Chưa nhập của người sử dụng ) ."

"License agreement does not allow you to set your own copyright, but you may opt to have the copyright invisibe to public/non-code view. Copyrights may never be removed from the actual code." = "Thỏa thuận cấp phép không cho phép bạn thiết lập bản quyền của riêng bạn, nhưng bạn có thể chọn để có invisibe bản quyền cho công chúng / phi mã . Quyền tác giả có thể không bao giờ được gỡ bỏ từ các mã thực tế ."

"List will not be listed on default subscription page." = "Danh sách sẽ không được liệt kê trên trang đăng ký mặc định."

"Logs will be kept for 30 days." = "Bản ghi sẽ được giữ trong 30 ngày."

"Most mail transfer agents include the code in form 5.X.X. If your server is not returning those, you can enter here some identifier for this Bounce Code." = "Hầu hết các đại lý chuyển thư bao gồm các mã trong hình thức 5.xx Nếu máy chủ của bạn không trả lại những người, bạn có thể nhập vào đây một số định danh cho luật này Bounce."

"Note: this overrides the 'day of the month' option" = "Lưu ý : điều này sẽ ghi đè ' ngày của tháng ' tùy chọn"

"Notice: Hold CTRL to select multiple Autoresponders." = "Chú ý : Giữ Ctrl để chọn nhiều Autoresponders ."

"Notice: Hold CTRL to select multiple destinations." = "Chú ý : Giữ Ctrl để chọn nhiều điểm đến."

"Notice: Hold CTRL to select multiple items." = "Chú ý : Giữ Ctrl để chọn nhiều mục ."

"Notice: Hold CTRL to select multiple lists." = "Chú ý : Giữ Ctrl để chọn nhiều danh sách ."

"Notice: Hold CTRL to select multiple statuses." = "Chú ý : Giữ Ctrl để chọn nhiều trạng thái ."

"Notice: This Subscription Form will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : Mẫu đăng ký này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This action will be performed on each selected list! Hold CTRL to select multiple lists." = "Chú ý: Hành động này sẽ được thực hiện trên mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This bounce setting will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : Thiết lập thư bị trả lại này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This custom header will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : tiêu đề tùy chỉnh này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This email account will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : tài khoản email này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This exclusion pattern will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : mô hình loại trừ này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This message will be a member of each selected group! Hold CTRL to select multiple group." = "Chú ý : Thông báo này sẽ là một thành viên của mỗi nhóm được lựa chọn ! Giữ Ctrl để chọn nhiều nhóm ."

"Notice: This message will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : Thông báo này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This personalization will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : cá nhân này sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

"Notice: This sending filter will be a member of each selected list! Hold CTRL to select multiple lists." = "Chú ý : bộ lọc gửi Đây sẽ là một thành viên của mỗi danh sách được lựa chọn ! Giữ Ctrl để chọn nhiều danh sách ."

