"source";"translation";"type";"module";"status";"customer"
"lang_code";"ar-EG";"M";"";"T";"N"
"lang_name";"العربية";"M";"";"T";"N"
"lang_english_name";"Arabic (Egypt)";"M";"";"T";"N"
"lang_author";"Yousef Matios";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";",";"M";"";"T";"N"
"lang_translation_percentage";"84";"M";"";"T";"N"
"lang_text_direction";"R";"M";"";"T";"N"
"License";"الترخيص";"S";"";"T";"N"
"You have to agree license.";"الموافقة على الترخيص مطلوبة.";"B";"";"T";"N"
"Installation Completed";"تم التحميل";"B";"";"T";"N"
"Safe Mode";"الوضع الآمن";"S";"";"T";"N"
"Display Errors";"إظهار الأخطاء";"S";"";"T";"N"
"File Uploads";"رفع ملف";"S";"";"T";"N"
"Register Globals";"تسجيل عام";"S";"";"T";"N"
"Session Auto Start";"بدا الجلسة تلقائياً";"S";"";"T";"N"
"On";"مفعل";"B";"";"T";"N"
"Off";"معطل";"B";"";"T";"N"
"Configuration directory is writable";"مجلد التهيئة الآن قابل للكتابة";"S";"";"T";"N"
"Configuration directory has to be writable";"يجب أن يكون مجلد التهئية قبل للكتابة";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"الرجاء جعل الدليل % s وكافة الدلائل الفرعية للكتابة من خادم الويب.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"في أنظمة يونكس--يمكنك كتابة ""chmod-R 777% s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"في أي نظام، يمكنك تعيين كتابة الأذونات باستخدام عميل FTP الخاص بك .";"S";"";"T";"N"
"PHP include path";"PHP تشمل المسار";"S";"";"T";"N"
"Could not set PHP include path";"PHP include لم يستطع ضبط مسار";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"الرجاء تكوين  PHP الخاص بك حتى  يتمكن السكربت من تغيير include_path .";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"وبدلاً من ذلك يمكنك تعيين include_path مباشرة في ملف php.ini الخاص بك. include_path = % s";"S";"";"T";"N"
"MySQL extension is installed";"يتم تثبيت إضافة MySQL";"S";"";"T";"N"
"MySQL extension is not installed";"لم يتم تثبيت إضافة MySQL";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"الرجاء تمكين إضافة MySQl. للمزيد من المعلومات http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"الرجاء تثبيت MySQL  الإصدار % s أو أعلى. الإصدار الحالي الخاص بك هو % s. مزيد من المعلومات http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"الرجاء التحقق من متطلبات النظام وحاول مرة أخرى";"S";"";"T";"N"
"Welcome";"مرحبا";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"يجب تحديد حالة الحملة (rstatus field)";"S";"";"T";"N"
"Campaigns";"الحملات";"B";"";"T";"N"
"Overview";"نظرة عامة";"B";"";"T";"N"
"Campaigns Manager";"إدارة الحملات";"S";"";"T";"N"
"Banners";"لافتات";"B";"";"T";"N"
"Banners Manager";"مدير لافتات";"B";"";"T";"N"
"Affiliates";"الافيلييت";"B";"";"T";"N"
"Affiliates Manager";"إدارة الافيلييت";"S";"";"T";"N"
"DirectLinks Urls";"رابط مباشر";"S";"";"T";"N"
"Transactions";"المعاملات";"B";"";"T";"N"
"Commissions";"العمولات";"B";"";"T";"N"
"Reports";"التقارير";"B";"";"T";"N"
"Trends report";"تقرير الاتجاهات";"B";"";"T";"N"
"Payouts history";"تاريخ دفعات";"B";"";"T";"N"
"Payouts by affiliate";"دفعات بواسطة الافيلييت";"B";"";"T";"N"
"Payouts";"الدفعات";"B";"";"T";"N"
"Pay affiliates";"دفع الافيلييت";"B";"";"T";"N"
"Communication";"التواصل";"B";"";"T";"N"
"Send message";"إرسال رسالة";"S";"";"T";"N"
"Configuration";"الإعدادات";"B";"";"T";"N"
"Tracking settings";"إعدادات التتبع";"B";"";"T";"N"
"Affiliate panel";"لوحة الافيلييت";"C";"";"T";"N"
"Tools";"أدوات";"B";"";"T";"N"
"Integration";"التكامل";"B";"";"T";"N"
"Import / Export";"استيراد/تصدير";"B";"";"T";"N"
"Event logs";"سجلات الأحداث";"B";"";"T";"N"
"Online users";"المستخدمين على الإنترنت";"B";"";"T";"N"
"Database status";"حالة قاعدة البيانات";"B";"";"T";"N"
"User cannot be found";"لا يمكن العثور على المستخدم";"S";"";"T";"N"
"Email was successfully sent to merchant";"تم إرسال البريد الإلكتروني بنجاح إلى التاجر";"S";"";"T";"N"
"Email notifications saved";"تم حفظ إعلامات البريد الإلكتروني ";"S";"";"T";"N"
"Banner";"لافته";"B";"";"T";"N"
"none active";"غير نشط";"S";"";"T";"N"
"per click";"بالنقرة";"B";"";"T";"N"
"per sale";"بالبيع";"B";"";"T";"N"
"ID";"الرمز";"B";"";"T";"N"
"Name";"الاسم";"B";"";"T";"N"
"Description";"الوصف";"B";"";"T";"N"
"Status";"الحالة";"B";"";"T";"N"
"Date created";"تاريخ الإنشاء";"S";"";"T";"N"
"Actions";"الإجراءات";"B";"";"T";"N"
"Channel";"القناة";"B";"";"T";"N"
"Failed to save %s field(s)";"فشل في حفظ الحقول % s";"S";"";"T";"N"
"%s field(s) successfully saved";"حقول حفظت بنجاح %s";"S";"";"T";"N"
"User";"المستخدم";"B";"";"T";"N"
"Channel name";"اسم القناة";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"النمط لايطابق نمط عنوان URL، والتحقق من النمط الخاص بك";"S";"";"T";"N"
"Pattern matched the URL";"النمط مطابق ل URL";"S";"";"T";"N"
"Login";"سجّل دخول";"B";"";"T";"N"
"First name";"الإسم الأول";"B";"";"T";"N"
"Last name";"الإسم الأخير";"B";"";"T";"N"
"Referral ID";"معرّف المحوّل";"B";"";"T";"N"
"I agree with terms & conditions";"موافق على الشروط والأحكام";"B";"";"T";"N"
"Cannot find invoice";"لا استطيع ايجاد الفاتورة";"S";"";"T";"N"
"Affiliate";"الافيلييت";"B";"";"T";"N"
"Date of registration";"تاريخ التسجيل";"S";"";"T";"N"
"Commission";"العموله";"B";"";"T";"N"
"Total cost";"التكلفة الإجمالية";"B";"";"T";"N"
"Order ID";"معرّف الطلب";"B";"";"T";"N"
"Product ID";"معرّف المنتج";"B";"";"T";"N"
"Created";"تم الإنشاء";"B";"";"T";"N"
"Campaign Name";"إسم الحمله";"B";"";"T";"N"
"Type";"النوع";"B";"";"T";"N"
"Affiliate username";"اسم مستخدم الافيلييت";"S";"";"T";"N"
"Paid";"مدفوع";"B";"";"T";"N"
"Ip";"الملكية الفكرية";"S";"";"T";"N"
"Referer";"المحوّل";"B";"";"T";"N"
"Recurring commison id";"معرّف العموله الدوري";"S";"";"T";"N"
"Payout history id";"معرّف تاريخ دفع التعويضات";"B";"";"T";"N"
"Click count";"انقر العدّ";"S";"";"T";"N"
"First click time";"توقيت النقره الأولى";"S";"";"T";"N"
"First click referer";"محوّل النقره الأولى";"S";"";"T";"N"
"First click ip";"آي بي النقره الأولى";"S";"";"T";"N"
"First click data 1";"بيانات 1 للنقره الأولى";"S";"";"T";"N"
"First click data 2";"بيانات 2 للنقره الثانية";"S";"";"T";"N"
"Last click time";"توقيت آخر نقره";"S";"";"T";"N"
"Last click referer";"محوّل النقره الأخيره";"S";"";"T";"N"
"Last click ip";"آي بي النقره الأخيره";"S";"";"T";"N"
"Last click data 1";"بيانات 1 للنقره الأخيره";"S";"";"T";"N"
"Last click data 2";"بيانات 2 للنقره الأخيره";"S";"";"T";"N"
"Extra data 1";"بيانات إضافية 1";"B";"";"T";"N"
"Extra data 2";"بيانات إضافية 2";"B";"";"T";"N"
"Extra data 3";"بيانات إضافية 3";"S";"";"T";"N"
"Extra data 4";"بيانات إضافية 4";"S";"";"T";"N"
"Extra data 5";"بيانات إضافية 5";"S";"";"T";"N"
"Merchant note";"ملاحظة تجارية";"B";"";"T";"N"
"Banner name";"اسم البنر";"B";"";"T";"N"
"Banner preview";"معاينة البنر";"S";"";"T";"N"
"Campaign";"حملة";"B";"";"T";"N"
"Target URL";"الرابط الموجّه";"B";"";"T";"N"
"Banner type";"نوع البنر";"S";"";"T";"N"
"Html data is not defined";"بيانات الـ Html لم تُعرّف";"S";"";"T";"N"
"File name is not defined";"لم يتم تعريف اسم الملف";"S";"";"T";"N"
"unknown";"غير معروف";"B";"";"T";"N"
"approved";"وافق";"B";"";"T";"N"
"pending";"معلّق";"B";"";"T";"N"
"User Id";"معرّف المستخدم";"S";"";"T";"N"
"Payment date";"تاريخ الدّفع";"S";"";"T";"N"
"Username";"اسم المستخدم";"B";"";"T";"N"
"Amount";"مبلغ";"B";"";"T";"N"
