"source";"translation";"type";"module";"status";"customer"
"lang_code";"bg";"M";"";"T";"N"
"lang_name";"Български";"M";"";"T";"N"
"lang_english_name";"Bulgarian";"M";"";"T";"N"
"lang_author";"www.bgfoto.net";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"dd.MM.yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"75";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Лиценз";"S";"";"T";"N"
"You have to agree license.";"Трябва да приемете лиценза.";"B";"";"T";"N"
"Installation Completed";"Инсталацията е завършена...";"B";"";"T";"N"
"Safe Mode";"Safe Mode";"S";"";"N";"N"
"Display Errors";"Display Errors";"S";"";"N";"N"
"File Uploads";"File Uploads";"S";"";"N";"N"
"Register Globals";"Register Globals";"S";"";"N";"N"
"Session Auto Start";"Session Auto Start";"S";"";"N";"N"
"On";"ВКЛ.";"B";"";"T";"N"
"Off";"ИЗКЛ.";"B";"";"T";"N"
"Configuration directory is writable";"Конфигурационната директория е с права за запис";"S";"";"T";"N"
"Configuration directory has to be writable";"Конфигурационната директория трябва да е с права за запис";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Моля, направете директорията %s и всички нейни под директории с права за запис от сървъра...";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"На UNIX и подобни системи (unix-like) можете да напишете ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"За всички системи можете да промените правата за запис чрез вашият любим FTP клиент.";"S";"";"T";"N"
"PHP include path";"Път за включване на PHP файлове (PHP include path)";"S";"";"T";"N"
"Could not set PHP include path";"Пътят за включване на PHP файлове не може да бъде зададен";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Моля, конфигурирайте вашата PHP инсталация за да може скриптът да е в състояние да променя пътя за включване  (include_path).";"S";"";"T";"N"
