"source";"translation";"type";"module";"status";"customer"
"lang_code";"en-US";"M";"";"T";"N"
"lang_name";"English";"M";"";"T";"N"
"lang_english_name";"English";"M";"";"T";"N"
"lang_author";"Quality Unit";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"100";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"License";"S";"";"T";"N"
"You have to agree license.";"You have to agree to the license.";"B";"";"T";"N"
"Installation Completed";"Installation Completed";"B";"";"T";"N"
"Safe Mode";"Safe Mode";"S";"";"T";"N"
"Display Errors";"Display Errors";"S";"";"T";"N"
"File Uploads";"File Uploads";"S";"";"T";"N"
"Register Globals";"Register Globals";"S";"";"T";"N"
"Session Auto Start";"Session Auto Start";"S";"";"T";"N"
"On";"On";"B";"";"T";"N"
"Off";"Off";"B";"";"T";"N"
"Configuration directory is writable";"Configuration directory is writable";"S";"";"T";"N"
"Configuration directory has to be writable";"Configuration directory has to be writable";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Please make directory %s and all subdirectories writable by webserver.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"On unix-like systems you can type ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"On any system you can set write permissions using your favourite FTP client.";"S";"";"T";"N"
"PHP include path";"PHP include path";"S";"";"T";"N"
"Could not set PHP include path";"Could not set PHP include path";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Please configure your PHP so that script is able to change include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternatively you can set include_path directly in your php.ini. include_path=%s";"S";"";"T";"N"
"MySQL extension is installed";"MySQL extension is installed";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL extension is not installed";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"Please enable MySQL extension. More info http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Please check system requirements and try again";"S";"";"T";"N"
"Welcome";"Welcome";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"You have to specify status of campaign (rstatus field)";"S";"";"T";"N"
"Campaigns";"Campaigns";"B";"";"T";"N"
"Overview";"Overview";"B";"";"T";"N"
"Campaigns Manager";"Campaigns Manager";"S";"";"T";"N"
"Banners";"Banners";"B";"";"T";"N"
"Banners Manager";"Banners manager";"B";"";"T";"N"
"Affiliates";"Affiliates";"B";"";"T";"N"
"Affiliates Manager";"Affiliates Manager";"S";"";"T";"N"
"DirectLinks Urls";"DirectLinks Urls";"S";"";"T";"N"
"Transactions";"Transactions";"B";"";"T";"N"
"Commissions";"Commissions";"B";"";"T";"N"
"Reports";"Reports";"B";"";"T";"N"
"Trends report";"Trends report";"B";"";"T";"N"
"Payouts history";"Payouts history";"B";"";"T";"N"
"Payouts by affiliate";"Payouts by affiliate";"B";"";"T";"N"
"Payouts";"Payouts";"B";"";"T";"N"
"Pay affiliates";"Pay affiliates";"B";"";"T";"N"
"Communication";"Communication";"B";"";"T";"N"
"Send message";"Send message";"S";"";"T";"N"
"Configuration";"Configuration";"B";"";"T";"N"
"Tracking settings";"Tracking Settings";"B";"";"T";"N"
"Affiliate panel";"Affiliate Panel";"C";"";"T";"N"
"Tools";"Tools";"B";"";"T";"N"
"Integration";"Integration";"B";"";"T";"N"
"Import / Export";"Import / Export";"B";"";"T";"N"
"Event logs";"Event logs";"B";"";"T";"N"
"Online users";"Online users";"B";"";"T";"N"
"Database status";"Database status";"B";"";"T";"N"
"User cannot be found";"User cannot be found";"S";"";"T";"N"
"Email was successfully sent to merchant";"Email was successfully sent to merchant";"S";"";"T";"N"
"Email notifications saved";"Email notifications saved";"S";"";"T";"N"
"Banner";"Banner";"B";"";"T";"N"
"none active";"none active";"S";"";"T";"N"
"per click";"per Click";"B";"";"T";"N"
"per sale";"per Sale";"B";"";"T";"N"
"ID";"ID";"B";"";"T";"N"
"Name";"Name";"B";"";"T";"N"
"Description";"Description";"B";"";"T";"N"
"Status";"Status";"B";"";"T";"N"
"Date created";"Date Created";"S";"";"T";"N"
"Actions";"Actions";"B";"";"T";"N"
"Channel";"Channel";"B";"";"T";"N"
"Failed to save %s field(s)";"Failed to save %s field(s)";"S";"";"T";"N"
"%s field(s) successfully saved";"%s field(s) successfully saved";"S";"";"T";"N"
"User";"User";"B";"";"T";"N"
"Channel name";"Channel name";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"Pattern didn't matched the URL, check your pattern";"S";"";"T";"N"
"Pattern matched the URL";"Pattern matched the URL";"S";"";"T";"N"
"Login";"Login";"B";"";"T";"N"
"First name";"First Name";"B";"";"T";"N"
"Last name";"Last Name";"B";"";"T";"N"
"Referral ID";"Referral ID";"B";"";"T";"N"
"I agree with terms & conditions";"I agree to the terms & conditions";"B";"";"T";"N"
"Cannot find invoice";"Cannot find invoice";"S";"";"T";"N"
"Affiliate";"Affiliate";"B";"";"T";"N"
"Date of registration";"Date of Registration";"S";"";"T";"N"
"Commission";"Commission";"B";"";"T";"N"
"Total cost";"Total Cost";"B";"";"T";"N"
"Order ID";"Order ID";"B";"";"T";"N"
"Product ID";"Product ID";"B";"";"T";"N"
"Created";"Created";"B";"";"T";"N"
"Campaign Name";"Campaign Name";"B";"";"T";"N"
"Type";"Type";"B";"";"T";"N"
"Affiliate username";"Affiliate Username";"S";"";"T";"N"
"Paid";"Paid";"B";"";"T";"N"
"Ip";"IP";"S";"";"T";"N"
"Referer";"Referer";"B";"";"T";"N"
"Recurring commison id";"Recurring Commission ID";"S";"";"T";"N"
"Payout history id";"Payout History ID";"B";"";"T";"N"
"Click count";"Click Count";"S";"";"T";"N"
"First click time";"First Click Time";"S";"";"T";"N"
"First click referer";"First Click Referer";"S";"";"T";"N"
"First click ip";"First Click IP";"S";"";"T";"N"
"First click data 1";"First Click Data 1";"S";"";"T";"N"
"First click data 2";"First Click Data 2";"S";"";"T";"N"
"Last click time";"Last Click Time";"S";"";"T";"N"
"Last click referer";"Last Click Referer";"S";"";"T";"N"
"Last click ip";"Last Click IP";"S";"";"T";"N"
"Last click data 1";"Last Click Data 1";"S";"";"T";"N"
"Last click data 2";"Last Click Data 2";"S";"";"T";"N"
"Extra data 1";"Extra Data 1";"B";"";"T";"N"
"Extra data 2";"Extra Data 2";"B";"";"T";"N"
"Extra data 3";"Extra Data 3";"S";"";"T";"N"
"Extra data 4";"Extra Data 4";"S";"";"T";"N"
"Extra data 5";"Extra Data 5";"S";"";"T";"N"
"Merchant note";"Merchant Note";"B";"";"T";"N"
"Banner name";"Banner name";"B";"";"T";"N"
"Banner preview";"Banner preview";"S";"";"T";"N"
"Campaign";"Campaign";"B";"";"T";"N"
"Target URL";"Target URL";"B";"";"T";"N"
"Banner type";"Banner type";"S";"";"T";"N"
"Html data is not defined";"Html data is not defined";"S";"";"T";"N"
"File name is not defined";"File name is not defined";"S";"";"T";"N"
"unknown";"Unknown";"B";"";"T";"N"
"approved";"Approved";"B";"";"T";"N"
"pending";"Pending";"B";"";"T";"N"
"User Id";"User Id";"S";"";"T";"N"
"Payment date";"Payment Date";"S";"";"T";"N"
"Username";"Username";"B";"";"T";"N"
"Amount";"Amount";"B";"";"T";"N"
"Note to affiliate";"Note to Affiliate";"S";"";"T";"N"
"Original currency ID";"Original Currency ID";"S";"";"T";"N"
"Original currency rate";"Original Currency Rate";"S";"";"T";"N"
"Original currency value";"Original Currency Value";"S";"";"T";"N"
"System note";"System Note";"B";"";"T";"N"
"Country code";"Country Code";"B";"";"T";"N"
"Affiliate first name";"Affiliate First Name";"S";"";"T";"N"
"Affiliate last name";"Affiliate Last Name";"S";"";"T";"N"
"3rd party cookie";"3rd party cookie";"B";"";"T";"N"
"1st party cookie";"1st party cookie";"B";"";"T";"N"
"Flash cookie";"Flash cookie";"B";"";"T";"N"
"Forced parameter";"Forced parameter";"B";"";"T";"N"
"IP address";"IP address";"B";"";"T";"N"
"Default affiliate";"Default affiliate";"B";"";"T";"N"
"Url";"URL";"B";"";"T";"N"
"Note";"Note";"B";"";"T";"N"
"Status does not have allowed value";"Status does not have allowed value";"S";"";"T";"N"
"Selected username already exists";"Selected username already exists";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Failed to change status for %s user(s)";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Status successfully changed for %s user(s)";"S";"";"T";"N"
"Password";"Password";"B";"";"T";"N"
"Title must be unique";"Title must be unique";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Selected parent affiliate does not exist";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Failed loading file %s with error: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Merchant - New User Signup";"B";"";"T";"N"
"New user signed up";"New user signed up";"B";"";"T";"N"
"Email subject";"Email subject";"S";"";"T";"N"
"Email text";"Email text";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Merchant - Affiliate filled Contact us form";"B";"";"T";"N"
"Affiliate filled Contact us form";"Affiliate filled Contact us form";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Merchant - New Sale / Lead";"B";"";"T";"N"
"New sale / lead";"New sale / lead";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Affiliate - New User Signup Approved";"B";"";"T";"N"
", welcome to our affiliate program";", welcome to our affiliate program";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Affiliate - New User Signup Before Approval";"B";"";"T";"N"
"Paid amount";"Paid amount";"S";"";"T";"N"
"Paid currency";"Paid currency";"S";"";"T";"N"
"Payout method";"Payout Method";"B";"";"T";"N"
"Affiliate - On payout";"Affiliate - On payout";"B";"";"T";"N"
"Your commissions";"Your commissions";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Affiliate - New Subaffiliate Sale / Lead";"B";"";"T";"N"
"New subaffiliate sale / lead";"New subaffiliate sale / lead";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Affiliate - New Subaffiliate signup";"B";"";"T";"N"
"New subaffiliate signed up";"New subaffiliate signed up";"B";"";"T";"N"
"VAT percentage";"VAT percentage";"B";"";"T";"N"
"VAT number";"VAT number";"B";"";"T";"N"
"Registration number";"Registration number";"B";"";"T";"N"
"VAT part";"VAT part";"B";"";"T";"N"
"Payment incl. VAT";"Payment incl. VAT";"B";"";"T";"N"
"Payment excl. VAT";"Payment excl. VAT";"B";"";"T";"N"
"Affiliate - On VAT payout";"Affiliate - On VAT payout";"B";"";"T";"N"
"Transaction ID";"Transaction ID";"B";"";"T";"N"
"TotalCost";"TotalCost";"S";"";"T";"N"
"Campaign ID";"Campaign ID";"S";"";"T";"N"
"Referer URL";"Referer URL";"S";"";"T";"N"
"First click - time";"First Click - Time";"S";"";"T";"N"
"First click - referer";"First Click - Referer";"S";"";"T";"N"
"First click - IP";"First Click - IP";"S";"";"T";"N"
"First click - data1";"First Click - Data 1";"S";"";"T";"N"
"First click - data2";"First Click - Data 2";"S";"";"T";"N"
"Last click - time";"Last Click - Time";"S";"";"T";"N"
"Last click - referer";"Last Click - Referer";"S";"";"T";"N"
"Last click - IP";"Last Click - IP";"S";"";"T";"N"
"Last click - data1";"Last Click - Data 1";"S";"";"T";"N"
"Last click - data2";"Last Click - Data 2";"S";"";"T";"N"
"Transaction data1";"Transaction data1";"S";"";"T";"N"
"Transaction data2";"Transaction data2";"S";"";"T";"N"
"Transaction data3";"Transaction data3";"S";"";"T";"N"
"Transaction data4";"Transaction data4";"S";"";"T";"N"
"Transaction data5";"Transaction data5";"S";"";"T";"N"
"Note to merchant";"Note to merchant";"S";"";"T";"N"
"Original currency";"Original Currency";"S";"";"T";"N"
"Banner does not exist";"Banner does not exist";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Server error: Unknown type given for BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Banner was saved";"S";"";"T";"N"
"Clicks";"Clicks";"B";"";"T";"N"
"CTR";"CTR";"S";"";"T";"N"
"Order";"Order";"B";"";"T";"N"
"BannersImportExportDescription";"Banners definitios – note that this imports/exports only the definitions, not the physical images or files";"B";"";"T";"N"
"Campaign does not exist";"Campaign does not exist";"S";"";"T";"N"
"Campaign capping saved";"Campaign capping saved";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Number of transactions in 'Active until' campaign validity has to be set";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"There are missing From and To dates for 'Active in date range' campaign validity";"S";"";"T";"N"
"Commission successfully computed";"Commission successfully computed";"S";"";"T";"N"
"User is not valid!";"User is not valid!";"S";"";"T";"N"
"Campaign is not valid!";"Campaign is not valid!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Transaction type is not valid or doesn't exist in this campaign!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Cannot recognize commission group for this user in campaign!";"S";"";"T";"N"
"Error getting commission settings!";"Error getting commission settings!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Error, for percentage commissions you have to define Total cost!";"S";"";"T";"N"
"You cannot delete default campaign";"You cannot delete default campaign";"S";"";"T";"N"
"Default";"Default";"B";"";"T";"N"
"per sale / lead";"Per Sale / Lead ";"B";"";"T";"N"
"CampaignsImportExportDescription";"Campaigns and their commission amount settings";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: campaignId is empty";"S";"";"T";"N"
"Campaign ID cannot be empty!";"Campaign ID cannot be empty!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) cannot be empty!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"CommissionGroupId cannot be empty!";"S";"";"T";"N"
"Commission type does not exist";"Commission type does not exist";"S";"";"T";"N"
"Commissions saved successfully";"Commissions saved successfully";"S";"";"T";"N"
"Field 'type' does not exist";"Field 'type' does not exist";"S";"";"T";"N"
"Failed to change status";"Failed to change status";"S";"";"T";"N"
"Status successfully changed";"Status successfully changed";"S";"";"T";"N"
"CommissionsImportExportDescription";"Commissions (transactions, orders) registered by the system";"B";"";"T";"N"
"Affiliate screen";"Affiliate screen";"S";"";"T";"N"
"Affiliate panel menu saved";"Affiliate panel menu saved";"S";"";"T";"N"
"Error changing default theme";"Error changing default theme";"S";"";"T";"N"
"Default theme changed";"Default theme changed";"S";"";"T";"N"
"Program name and logo saved";"Program name and logo saved";"S";"";"T";"N"
"Affiliate signup settings saved";"Affiliate signup settings saved";"S";"";"T";"N"
"Banner format successfully saved";"Banner format successfully saved";"S";"";"T";"N"
"Cookies settings saved";"Cookies settings saved";"S";"";"T";"N"
"Symbol";"Symbol";"B";"";"T";"N"
"Precision";"Precision";"B";"";"T";"N"
"Where to display";"Where to display";"B";"";"T";"N"
"Exchange rate";"Exchange rate";"S";"";"T";"N"
"Currency";"Currency";"B";"";"T";"N"
"Fraud protections saved";"Fraud protections saved";"S";"";"T";"N"
"Logging saved";"Logging saved";"S";"";"T";"N"
"Parameter names saved";"Parameter names saved";"S";"";"T";"N"
"Tracking saved";"Tracking saved";"S";"";"T";"N"
"Affiliates successfully paid";"Affiliates successfully paid";"S";"";"T";"N"
"Email";"Email";"B";"";"T";"N"
"VAT";"VAT";"S";"";"T";"N"
"To pay";"To pay";"S";"";"T";"N"
"Declined";"Declined";"B";"";"T";"N"
"Minimum payout";"Minimum payout";"S";"";"T";"N"
"Payout data";"Payout data";"B";"";"T";"N"
"N/A";"N/A";"S";"";"T";"N"
"New payout option";"New payout option";"S";"";"T";"N"
"New payout option %s";"New payout option %s";"S";"";"T";"N"
"Payout option";"Payout option";"B";"";"T";"N"
"Payout history";"Payout History";"B";"";"T";"N"
"Date paid";"Date paid";"S";"";"T";"N"
"Payees";"payees";"S";"";"T";"N"
"Total amount";"Total amount";"S";"";"T";"N"
"Affiliate note";"Affiliate note";"B";"";"T";"N"
"Date";"Date";"B";"";"T";"N"
"Data 1";"Data 1";"B";"";"T";"N"
"Data 2";"Data 2";"B";"";"T";"N"
"Clicks unique";"Clicks Unique";"S";"";"T";"N"
"Impressions unique";"Impressions Unique";"S";"";"T";"N"
"Table name";"Table name";"S";"";"T";"N"
"Records";"Records";"S";"";"T";"N"
"Total size";"Total size";"S";"";"T";"N"
