"source";"translation";"type";"module";"status";"customer"
"lang_code";"et";"M";"";"T";"N"
"lang_name";"Eesti";"M";"";"T";"N"
"lang_english_name";"Estonian";"M";"";"T";"N"
"lang_author";"Feliks Stavitski";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"DD/MM/YYYY";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"6";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Litsents";"S";"";"T";"N"
"On";"Sees";"B";"";"T";"N"
"Off";"Väljas";"B";"";"T";"N"
"Welcome";"Tervist";"B";"";"T";"N"
"Campaigns";"Kampaaniad";"B";"";"T";"N"
"Overview";"ülevaade";"B";"";"T";"N"
"Banners";"Bannerid";"B";"";"T";"N"
"Affiliates";"Affiliated";"B";"";"T";"N"
"Transactions";"Tehingud";"B";"";"T";"N"
"Commissions";"Komisjonitasud";"B";"";"T";"N"
"Reports";"Raportid";"B";"";"T";"N"
"Payouts";"Väljamaksed";"B";"";"T";"N"
"Communication";"Suhtlus";"B";"";"T";"N"
"Configuration";"Konfigureerimine";"B";"";"T";"N"
"Tools";"Tööriistad";"B";"";"T";"N"
"Integration";"Integratsioon";"B";"";"T";"N"
"Banner";"Banner";"B";"";"N";"N"
"ID";"Id";"B";"";"T";"N"
"Name";"Nimi";"B";"";"T";"N"
"Description";"Kirjeldus";"B";"";"T";"N"
"Status";"Staatus";"B";"";"T";"N"
"Actions";"Tegevused";"B";"";"T";"N"
"Channel";"Kanalid";"B";"";"T";"N"
"User";"Kasutaja";"B";"";"T";"N"
"Login";"Logi sisse";"B";"";"T";"N"
"Affiliate";"Affiliate";"B";"";"N";"N"
"Commission";"Vahendustasu";"B";"";"T";"N"
"Created";"Loodud";"B";"";"T";"N"
"Type";"Tüüp";"B";"";"T";"N"
"Paid";"makstud";"B";"";"T";"N"
"Ip";"IP";"S";"";"N";"N"
"Referer";"Soovitaja";"B";"";"T";"N"
"Campaign";"Kampaania";"B";"";"T";"N"
"unknown";"Tundmatu";"B";"";"T";"N"
"approved";"Heaks kiidetud";"B";"";"T";"N"
"pending";"Ootel";"B";"";"T";"N"
"Username";"Kasutajanimi";"B";"";"T";"N"
"Amount";"Kogus";"B";"";"T";"N"
