"source";"translation";"type";"module";"status";"customer"
"lang_code";"he-IL";"M";"";"T";"N"
"lang_name";"עברית";"M";"";"T";"N"
"lang_english_name";"Hebrew";"M";"";"T";"N"
"lang_author";"Kobi Triki";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"d/MM/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"49";"M";"";"T";"N"
"lang_text_direction";"R";"M";"";"T";"N"
"License";"רשיון";"S";"";"T";"N"
"You have to agree license.";"עליך לקבל את תנאי הרשיון.";"B";"";"T";"N"
"Installation Completed";"ההתקנה הסתיימה";"B";"";"T";"N"
"Safe Mode";"מצב בטוח";"S";"";"T";"N"
"Display Errors";"הצג שגיאות";"S";"";"T";"N"
"File Uploads";"העלאת קבצים";"S";"";"T";"N"
"Register Globals";"Register Globals(PHP)";"S";"";"T";"N"
"Session Auto Start";"התחלה אוטומטית של מקטע";"S";"";"T";"N"
"On";"פעיל";"B";"";"T";"N"
"Off";"מבוטל";"B";"";"T";"N"
"Configuration directory is writable";"תיקיית Configuration ניתנת לכתיבה";"S";"";"T";"N"
"Configuration directory has to be writable";"על תיקיית Configuration להיות ניתנת לכתיבה";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"נא לשנות את הרשאות התיקיה %s וכל תתי התיקיות שלה לניתנות לכתיבה.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";" ""chmod -R 777 %s""במערכות כגון לינוקס אתה יכול להקליד  ";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"בכל מערכות ההפעלה ניתן לשנות הרשאות באמצעות תוכנת FTP.";"S";"";"T";"N"
"PHP include path";"PHP include נתיב";"S";"";"T";"N"
"Could not set PHP include path";"לא ניתן לקבוע נתיב PHP include";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"יש להגדיר את הגדרות ה-PHP על מנת שהתוכנה תוכל לשנות את הנתיב של include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"לחלופין אתה יכול לשנות באופן ידני את הנתיב בתוך קובץ php.ini על ידי הוספת include-path=%s";"S";"";"T";"N"
"MySQL extension is installed";"תוספת MYSQL מותקנת";"S";"";"T";"N"
"MySQL extension is not installed";"תוספת MYSQL אינה מותקנת";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"יש להפעיל תוספת MYSQL, למידע נוסף http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"יש להתקין גרסת MYSQL %s ומעלה,הגרסא הנוכחית היא %s, לפרטים נוספים http://php.net/mysql";"S";"";"T";"N"
"Please check system requirements and try again";"יש לבדוק את דרישות המערכת ולנסות שוב";"S";"";"T";"N"
"Welcome";"ברוכים הבאים";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"עליך להגדיר את מצב הקמפיין (rstatus field)";"S";"";"T";"N"
"Campaigns";"קמפיינים";"B";"";"T";"N"
"Overview";"סקירה";"B";"";"T";"N"
"Campaigns Manager";"ניהול קמפיינים";"S";"";"T";"N"
"Banners";"באנרים";"B";"";"T";"N"
"Banners Manager";"ניהול באנרים";"B";"";"T";"N"
"Affiliates";"משווקי משנה";"B";"";"T";"N"
"Affiliates Manager";"ניהול משווקי משנה";"S";"";"T";"N"
"DirectLinks Urls";"כתובות לינקים ישירים";"S";"";"T";"N"
"Transactions";"עסקאות";"B";"";"T";"N"
