"source";"translation";"type";"module";"status";"customer"
"lang_code";"hu";"M";"";"T";"N"
"lang_name";"Magyar";"M";"";"T";"N"
"lang_english_name";"Hungarian";"M";"";"T";"N"
"lang_author";"Alkupon";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"d.MM.yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";",";"M";"";"T";"N"
"lang_translation_percentage";"98";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"licensz";"S";"";"T";"N"
"You have to agree license.";"El kell fogadni a szerződési feltételeket";"B";"";"T";"N"
"Installation Completed";"Az installáció befejeződött.";"B";"";"T";"N"
"Safe Mode";"biztonságos mód.";"S";"";"T";"N"
"Display Errors";"Megjelenítési hiba";"S";"";"T";"N"
"File Uploads";"file feltöltések";"S";"";"T";"N"
"Register Globals";"Globális Regisztráció";"S";"";"T";"N"
"Session Auto Start";"Session Automata Indítás";"S";"";"T";"N"
"On";"Be";"B";"";"T";"N"
"Off";"Ki";"B";"";"T";"N"
"Configuration directory is writable";"A konfigurációs könyvtár írható";"S";"";"T";"N"
"Configuration directory has to be writable";"A konfigurációs könyvtárnak írhatónak kell lenni";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Kérjük, hozzon létre a webszerver által írható %s könyvtárat és alkönyvtárakat";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Az Unix-szerű rendszereken begépelhető: ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Bármilyen rendszeren beállíthat írási engedélyt kedvenc FTP kliensének használata segítségével.";"S";"";"T";"N"
"PHP include path";"PHP elérési útvonal";"S";"";"T";"N"
"Could not set PHP include path";"PHP include path beállítása nem sikerült";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Kérjük, konfigurálja személyes oldalát úgy, hogy a script meg tudja változtatni a include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Vagy, beállíthatja a include_path közvetlenül a php.ini. include_path=%s-ban is";"S";"";"T";"N"
"MySQL extension is installed";"MySQL kiterjesztés installálva";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL kiterjesztés nincs installálva.";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"Kérjük, engedélyezze a MySQL kiterjesztést! További információk: http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Kérjük installálja a MySQL %s vagy magasabb verzióját! Az ön jelenlegi verziója: %s. További információ: http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Kérjük ellenőrizze a rendszer-követelményeket és próbálja meg újra!";"S";"";"T";"N"
"Welcome";"Üdvözöljük!";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"Meg kell határoznia a kampány státuszát  (rstatus mező)";"S";"";"T";"N"
"Campaigns";"Kampányok";"B";"";"T";"N"
"Overview";"Áttekintés";"B";"";"T";"N"
"Campaigns Manager";"kampány intéző";"S";"";"T";"N"
"Banners";"Bannerek";"B";"";"T";"N"
"Banners Manager";"Banner Intéző";"B";"";"T";"N"
"Affiliates";"Partnerek";"B";"";"T";"N"
"Affiliates Manager";"Partner-intéző";"S";"";"T";"N"
"DirectLinks Urls";"Közvetlen linkek URL";"S";"";"T";"N"
"Transactions";"Tranzakciók";"B";"";"T";"N"
"Commissions";"Jutalékok";"B";"";"T";"N"
"Reports";"Jelentések";"B";"";"T";"N"
"Trends report";"Trendek jelentése";"B";"";"T";"N"
"Payouts history";"Eddigi kifizetések";"B";"";"T";"N"
"Payouts by affiliate";"A partner kifizetései";"B";"";"T";"N"
"Payouts";"Kifizetések";"B";"";"T";"N"
"Pay affiliates";"Partner kifizetése";"B";"";"T";"N"
"Communication";"Kommunikáció";"B";"";"T";"N"
"Send message";"Üzenet küldése";"S";"";"T";"N"
"Configuration";"Konfiguráció";"B";"";"T";"N"
"Tracking settings";"Tracking beállítások";"B";"";"T";"N"
"Affiliate panel";"Partner panel";"C";"";"T";"N"
"Tools";"Eszközök";"B";"";"T";"N"
"Integration";"integráció";"B";"";"T";"N"
"Import / Export";"Importálás / Exportálás";"B";"";"T";"N"
"Event logs";"Esemény naplók";"B";"";"T";"N"
"Online users";"Online felhasználók";"B";"";"T";"N"
"Database status";"Adatbázis állapot";"B";"";"T";"N"
"User cannot be found";"A felhasználó nem található";"S";"";"T";"N"
"Email was successfully sent to merchant";"Az e-mail sikeresen elküldve a kereskedőnek";"S";"";"T";"N"
"Email notifications saved";"E-mail értesítés elmentve";"S";"";"T";"N"
