"source";"translation";"type";"module";"status";"customer"
"lang_code";"ko";"M";"";"T";"N"
"lang_name";"한국어";"M";"";"T";"N"
"lang_english_name";"Korean";"M";"";"T";"N"
"lang_author";"품질 단위";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"81";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"특허";"S";"";"T";"N"
"You have to agree license.";"당신은 라이센스에 동의해야합니다.";"B";"";"T";"N"
"Installation Completed";"설치 완료";"B";"";"T";"N"
"Safe Mode";"안전 모드";"S";"";"T";"N"
"Display Errors";"표시 오류";"S";"";"T";"N"
"File Uploads";"파일 업로드";"S";"";"T";"N"
"Register Globals";"레지스터 글로벌";"S";"";"T";"N"
"Session Auto Start";"세션 자동 시작";"S";"";"T";"N"
"On";"에";"B";"";"T";"N"
"Off";"떨어져서";"B";"";"T";"N"
"Configuration directory is writable";"구성 디렉토리는 쓰기 가능";"S";"";"T";"N"
"Configuration directory has to be writable";"구성 디렉토리는 쓸 수있다";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"디렉토리 % s을 (를) 하고 모든 하위 디렉터리에 쓰기 권한하시기 바랍니다.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"유닉스 계열 시스템에 당신은 ""chmod를 -R 7백77퍼센트의 s""를 입력 할 수 있습니다";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"모든 시스템에 당신은 당신의 마음에 드는 FTP 클라이언트를 사용하여 쓰기 권한을 설정할 수 있습니다.";"S";"";"T";"N"
"PHP include path";"PHP는 경로를 포함";"S";"";"T";"N"
"Could not set PHP include path";"PHP가 포함 경로를 설정할 수 없습니다";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"해당 스크립트가 include_path를 변경 할 수 있도록 PHP를 구성하시기 바랍니다.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"또는 당신은 당신의 php.ini 파일에 직접 include_path를 설정할 수 있습니다. 의 include_path = %의";"S";"";"T";"N"
"MySQL extension is installed";"MySQL 확장이 설치되어";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL 확장이 설치되어 있지 않습니다";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"MySQL의 확장을 사용하시기 바랍니다. 더 많은 정보 http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"MySQL의 버전 %s의 이상을 설치하시기 바랍니다. 현재 버전은 %s입니다. 더 많은 정보 http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"시스템 요구 사항을 확인하고 다시 시도하십시오";"S";"";"T";"N"
"Welcome";"환영";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"당신은 캠페인의 상태를 지정해야합니다 (rstatus 필드)";"S";"";"T";"N"
"Campaigns";"캠페인";"B";"";"T";"N"
"Overview";"개요";"B";"";"T";"N"
"Campaigns Manager";"캠페인 관리자";"S";"";"T";"N"
"Banners";"배너";"B";"";"T";"N"
"Banners Manager";"배너 관리자";"B";"";"T";"N"
"Affiliates";"제휴";"B";"";"T";"N"
"Affiliates Manager";"제휴 관리자";"S";"";"T";"N"
"DirectLinks Urls";"DirectLinks의 URL";"S";"";"T";"N"
"Transactions";"업무";"B";"";"T";"N"
"Commissions";"위원회";"B";"";"T";"N"
"Reports";"보고서";"B";"";"T";"N"
"Trends report";"동향 보고서";"B";"";"T";"N"
"Payouts history";"대금 역사";"B";"";"T";"N"
"Payouts by affiliate";"제휴에 의한 대금";"B";"";"T";"N"
"Payouts";"지불금";"B";"";"T";"N"
"Pay affiliates";"유료 가입";"B";"";"T";"N"
