"source";"translation";"type";"module";"status";"customer"
"lang_code";"ro";"M";"";"T";"N"
"lang_name";"Romanian";"M";"";"T";"N"
"lang_english_name";"Romanian";"M";"";"T";"N"
"lang_author";"m@dd";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"68";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Licenta";"S";"";"T";"N"
"You have to agree license.";"Trebuie sa fii de acord cu termenii licentei.";"B";"";"T";"N"
"Installation Completed";"Instalare completa";"B";"";"T";"N"
"Safe Mode";"Safe Mode";"S";"";"N";"N"
"Display Errors";"Afiseaza Erori";"S";"";"T";"N"
"File Uploads";"Uploadarea fisierelor";"S";"";"T";"N"
"Register Globals";"Inregistrare Globala";"S";"";"T";"N"
"Session Auto Start";"Sesiune Auto Start ";"S";"";"T";"N"
"On";"On";"B";"";"N";"N"
"Off";"Off";"B";"";"N";"N"
"Configuration directory is writable";"Directorul de Configurare este editabil";"S";"";"T";"N"
"Configuration directory has to be writable";"Directorul de configurare trebuie sa fie scris";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Setati permisiunea de scriere in directorul %s si toate subdirectoarele pe server.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Pe sistemele Unix se poate scrie ""chmod -R 777 %s "".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Pe orice sistem puteti seta permisiuni de scriere, utilizand clientul FTP preferat de dvs.";"S";"";"T";"N"
"PHP include path";"PHP include calea";"S";"";"T";"N"
"Could not set PHP include path";"Nu puteti stabili PHP incluzand calea";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Va rugam sa configurati PHP-ul, astfel incat script-ul dvs. Sa fie capabil sa se schimbe include_path.";"S";"";"T";"N"
