"source";"translation";"type";"module";"status";"customer"
"lang_code";"sl";"M";"";"T";"N"
"lang_name";"Slovenski jezik";"M";"";"T";"N"
"lang_english_name";"Slovenian";"M";"";"T";"N"
"lang_author";"Prodajinkupi.si";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"86";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Licenca";"S";"";"T";"N"
"You have to agree license.";"Moraš se strinjati z licenco.";"B";"";"T";"N"
"Installation Completed";"Namestitev dokončana";"B";"";"T";"N"
"Safe Mode";"Varni način";"S";"";"T";"N"
"Display Errors";"Prikaz napake";"S";"";"T";"N"
"File Uploads";"Nalaganje datotek";"S";"";"T";"N"
"Register Globals";"Registracija GLOBALS";"S";"";"T";"N"
"Session Auto Start";"SejaAuto Start";"S";"";"T";"N"
"On";"Deluje";"B";"";"T";"N"
"Off";"Ne deluje";"B";"";"T";"N"
"Configuration directory is writable";"Konfiguracijski imenik zapisljiv";"S";"";"T";"N"
"Configuration directory has to be writable";"Konfiguracijski imenik mora biti zapisljiv";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Prosimo, da imenik %s in vse podimenike omogočite pisanje na strežniku.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Na Unixu podoben sistem lahko vnesete ""chmod-R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"V vsakem sistemu lahko nastavite dovoljenja za pisanje preko vašega FTP.";"S";"";"T";"N"
"PHP include path";"PHP include pot";"S";"";"T";"N"
"Could not set PHP include path";"Ne morem nastaviti PHP include pot";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Prosimo, da konfigurirate PHP skript, tako da lahko spremenite include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativno lahko nastavite include_path neposredno v php.ini. include_path = %s";"S";"";"T";"N"
"MySQL extension is installed";"MySQL je nameščena razširitev";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL razširitev ni nameščena";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"Prosimo, omogočite MySQL podaljšanje. Več info http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Prosimo namestite MySQL %s ali višje različice. Vaša trenutna različica je %s. Več info http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Prosimo, preverite sistemske zahteve in poskusite znova";"S";"";"T";"N"
"Welcome";"Dobrodošli";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"Moraš določiti status kampanje (rstatus polje)";"S";"";"T";"N"
"Campaigns";"Akcije";"B";"";"T";"N"
"Overview";"Pregled";"B";"";"T";"N"
"Campaigns Manager";"Akcije Manager";"S";"";"T";"N"
"Banners";"Oglasi";"B";"";"T";"N"
"Banners Manager";"Upravljavec oglasov";"B";"";"T";"N"
"Affiliates";"Affiliati";"B";"";"T";"N"
"Affiliates Manager";"Affiliates manager";"S";"";"T";"N"
"DirectLinks Urls";"DirectLinks URL-ji";"S";"";"T";"N"
"Transactions";"Transakcije";"B";"";"T";"N"
"Commissions";"Provizije";"B";"";"T";"N"
"Reports";"Poročila";"B";"";"T";"N"
"Trends report";"Poročilo trendov";"B";"";"T";"N"
"Payouts history";"Zgodovina izplačil";"B";"";"T";"N"
"Payouts by affiliate";"Izplačila po affiliatu";"B";"";"T";"N"
"Payouts";"Izplačila";"B";"";"T";"N"
"Pay affiliates";"Bodite affiliate";"B";"";"T";"N"
"Communication";"Komunikacija";"B";"";"T";"N"
"Send message";"Pošlji sporočilo";"S";"";"T";"N"
"Configuration";"Nastavitve";"B";"";"T";"N"
"Tracking settings";"Nastavitve sledenja";"B";"";"T";"N"
"Affiliate panel";"Affiliate nadzorna plošča";"C";"";"T";"N"
"Tools";"Orodja";"B";"";"T";"N"
"Integration";"Integracija";"B";"";"T";"N"
"Import / Export";"Uvoz / izvoz";"B";"";"T";"N"
"Event logs";"Dnevniki dogodkov";"B";"";"T";"N"
