"source";"translation";"type";"module";"status";"customer"
"lang_code";"sv";"M";"";"T";"N"
"lang_name";"Sverige";"M";"";"T";"N"
"lang_english_name";"Swedish";"M";"";"T";"N"
"lang_author";"Herbal Technologies B.V.";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"Mån/dag/årtal";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"61";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Licens";"S";"";"T";"N"
"You have to agree license.";"Du måste godkänna licensen.";"B";"";"T";"N"
"Installation Completed";"Installationen slutförd";"B";"";"T";"N"
"Safe Mode";"Felsäkert läge";"S";"";"T";"N"
"Display Errors";"Visa fel";"S";"";"T";"N"
"File Uploads";"Filuppladdning";"S";"";"T";"N"
"Register Globals";"Register Globals";"S";"";"N";"N"
"Session Auto Start";"Session Auto Start";"S";"";"N";"N"
"On";"On";"B";"";"N";"N"
"Off";"Off";"B";"";"N";"N"
"Configuration directory is writable";"Konfigurationskatalogen är skrivbar";"S";"";"T";"N"
"Configuration directory has to be writable";"Konfigurationskatalogen måste vara skrivbar";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Gör katalogen%s och alla underkataloger skrivbara hos webservern.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"På unix-liknande system can du skriva in ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"I alla system kan du ange skrivar-behörighet genom att uppge den FTP-klient du föredrar";"S";"";"T";"N"
"PHP include path";"PHP include path";"S";"";"N";"N"
"Could not set PHP include path";"Kunde inte ställa in PHP include path";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Var god och konfigurera din PHP så att skript kan förändra  include_path";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativt kan du ställa in include_path direkt i din php.ini. include_path=%s";"S";"";"T";"N"
"MySQL extension is installed";"MySQL extension är installerad";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL extension är inte installerad";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Vänligen installera MySQL version %s eller högre. Din nuvarande version är %s. Mer info på http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Kontrollera systemkrav och försök igen";"S";"";"T";"N"
"Welcome";"Välkommen";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"Du måste ange statusen för kampanjen (rstatus fält)";"S";"";"T";"N"
"Campaigns";"Kampanjer";"B";"";"T";"N"
"Overview";"Översikt";"B";"";"T";"N"
"Campaigns Manager";"Kampanj- Manager";"S";"";"T";"N"
"Banners";"Banners";"B";"";"N";"N"
"Banners Manager";"Banners manager";"B";"";"N";"N"
"Affiliates";"Affiliates";"B";"";"N";"N"
"Affiliates Manager";"Affiliates Manager";"S";"";"N";"N"
"DirectLinks Urls";"Urls för direktlänkar";"S";"";"T";"N"
"Transactions";"Transaktioner";"B";"";"T";"N"
"Commissions";"Provisioner";"B";"";"T";"N"
"Reports";"Rapporter";"B";"";"T";"N"
"Trends report";"Trendrapport";"B";"";"T";"N"
"Payouts history";"Utbetalningshistorik";"B";"";"T";"N"
"Payouts by affiliate";"Utbetalningar av affiliate";"B";"";"T";"N"
"Payouts";"Utbetalningar";"B";"";"T";"N"
"Pay affiliates";"Betala affiliates";"B";"";"T";"N"
"Communication";"Meddelande";"B";"";"T";"N"
"Send message";"Skicka meddelande";"S";"";"T";"N"
"Configuration";"Konfiguration";"B";"";"T";"N"
"Tracking settings";"Spåra inställningar";"B";"";"T";"N"
"Affiliate panel";"Affiliate Panel";"C";"";"N";"N"
"Tools";"Verktyg";"B";"";"T";"N"
"Integration";"Integration";"B";"";"N";"N"
"Import / Export";"Import / Export";"B";"";"N";"N"
"Event logs";"Historik";"B";"";"T";"N"
"Online users";"Online användare";"B";"";"T";"N"
"Database status";"Databasstatus";"B";"";"T";"N"
"User cannot be found";"Användaren kan inte hittas";"S";"";"T";"N"
"Email was successfully sent to merchant";"E-mail har skickats till manager";"S";"";"T";"N"
"Email notifications saved";"E-postmeddelanden sparade";"S";"";"T";"N"
"Banner";"Banner";"B";"";"N";"N"
"none active";"Inte aktiv";"S";"";"T";"N"
"per click";"per Klick";"B";"";"T";"N"
"per sale";"per Köp";"B";"";"T";"N"
"ID";"Id";"B";"";"T";"N"
"Name";"Namn";"B";"";"T";"N"
"Description";"Beskrivning";"B";"";"T";"N"
"Status";"Status";"B";"";"N";"N"
"Date created";"Datum skapat";"S";"";"T";"N"
"Actions";"Aktiviteter";"B";"";"T";"N"
"Channel";"Kanal";"B";"";"T";"N"
"Failed to save %s field(s)";" %s fält har inte sparats. ";"S";"";"T";"N"
"%s field(s) successfully saved";" %s fält har sparats. ";"S";"";"T";"N"
"User";"Användare";"B";"";"T";"N"
"Channel name";"Namn på kanal";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"Sökvägen matchade inte URL, kontrollera sökvägen";"S";"";"T";"N"
"Pattern matched the URL";"Sökvägen matchade URL";"S";"";"T";"N"
"Login";"Login";"B";"";"N";"N"
"First name";"Förnamn";"B";"";"T";"N"
"Last name";"Efternamn";"B";"";"T";"N"
"Referral ID";"Referens ID";"B";"";"T";"N"
"I agree with terms & conditions";"Jag godkänner regler och villkor";"B";"";"T";"N"
"Cannot find invoice";"Hittar inte faktura";"S";"";"T";"N"
"Affiliate";"Affiliate";"B";"";"N";"N"
"Date of registration";"Datum för registrering";"S";"";"T";"N"
"Commission";"Provision";"B";"";"T";"N"
"Total cost";"Total kostnad";"B";"";"T";"N"
"Order ID";"Order ID";"B";"";"N";"N"
"Product ID";"Produkt ID";"B";"";"T";"N"
"Created";"Skapad";"B";"";"T";"N"
"Campaign Name";"Kampanjnamn";"B";"";"T";"N"
"Type";"Typ";"B";"";"T";"N"
"Affiliate username";"Affiliate användarnamn";"S";"";"T";"N"
"Paid";"Betalad";"B";"";"T";"N"
"Ip";"IP";"S";"";"N";"N"
"Referer";"Referens";"B";"";"T";"N"
"Recurring commison id";"Återkommande provisions ID";"S";"";"T";"N"
"Payout history id";"Betalningshistorik id";"B";"";"T";"N"
"Click count";"Klicka räknare";"S";"";"T";"N"
"First click time";"Första klicket";"S";"";"T";"N"
"First click referer";"Referens för första klicket";"S";"";"T";"N"
"First click ip";"IP för första klicket";"S";"";"T";"N"
"First click data 1";"Första klicket data 1";"S";"";"T";"N"
"First click data 2";"Första klicket data 2";"S";"";"T";"N"
"Last click time";"Sista klicket ";"S";"";"T";"N"
"Last click referer";"Referens för sista klicket";"S";"";"T";"N"
"Last click ip";"IP sista klicket ";"S";"";"T";"N"
"Last click data 1";"Sista klicket data 1";"S";"";"T";"N"
"Last click data 2";"Sista klicket  data 2";"S";"";"T";"N"
"Extra data 1";"Extra data 1";"B";"";"N";"N"
"Extra data 2";"Extra data 2";"B";"";"N";"N"
"Extra data 3";"Extra data 3";"S";"";"N";"N"
"Extra data 4";"Extra data 4";"S";"";"N";"N"
"Extra data 5";"Extra data 5";"S";"";"N";"N"
"Merchant note";"Manager anteckning";"B";"";"T";"N"
"Banner name";"Banner namn";"B";"";"T";"N"
"Banner preview";"F örhandsgranska banner ";"S";"";"T";"N"
"Campaign";"Kampanj";"B";"";"T";"N"
"Target URL";"Target URL";"B";"";"N";"N"
"Banner type";"Banner typ";"S";"";"T";"N"
"Html data is not defined";"Html data kan inte definieras";"S";"";"T";"N"
"File name is not defined";"Filnamn kan inte definieras";"S";"";"T";"N"
"unknown";"Okänd";"B";"";"T";"N"
"approved";"Godkänd";"B";"";"T";"N"
"pending";"Väntande";"B";"";"T";"N"
"User Id";"Användar Id";"S";"";"T";"N"
"Payment date";"Betalningsdata";"S";"";"T";"N"
"Username";"Användarnamn";"B";"";"T";"N"
"Amount";"Belopp";"B";"";"T";"N"
"Note to affiliate";"Meddelande till affiliate";"S";"";"T";"N"
"Original currency ID";"Original valuta ID";"S";"";"T";"N"
"Original currency rate";"Original valutakurs";"S";"";"T";"N"
"Original currency value";"Original valutavärde";"S";"";"T";"N"
"System note";"System- meddelande";"B";"";"T";"N"
"Country code";"Landskod";"B";"";"T";"N"
"Affiliate first name";"Affiliatens förnamn";"S";"";"T";"N"
"Affiliate last name";"Affiliatens efternamn";"S";"";"T";"N"
"3rd party cookie";"3:e part cookie";"B";"";"T";"N"
"1st party cookie";"1:a part cookie";"B";"";"T";"N"
"Flash cookie";"Flash cookie";"B";"";"N";"N"
"Forced parameter";"Forced parameter";"B";"";"N";"N"
"IP address";"IP adress";"B";"";"T";"N"
"Default affiliate";"Standard affiliate";"B";"";"T";"N"
"Url";"URL";"B";"";"N";"N"
"Note";"Meddelande";"B";"";"T";"N"
"Status does not have allowed value";"Status har inte tillåtet värde";"S";"";"T";"N"
"Selected username already exists";"Det valda användarnamnet finns redan";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Misslyckades att ändra status för %s användare";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Statusen har ändrats för %s användare";"S";"";"T";"N"
"Password";"Lösenord";"B";"";"T";"N"
"Title must be unique";"Titeln måste vara unik";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Den valda parent affiliate finns inte";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Misslyckades att ladda filen %s med fel: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Köpare - Registrering av ny användare";"B";"";"T";"N"
"New user signed up";"Registrering av ny användare";"B";"";"T";"N"
"Email subject";"E-mail meddelande";"S";"";"T";"N"
"Email text";"E-mail text";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Manager - Affiliate har fyllt i kontaktformulär";"B";"";"T";"N"
"Affiliate filled Contact us form";"Affiliate har fyllt i kontaktformulär";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Manager - Nytt köp / potentiell kund";"B";"";"T";"N"
"New sale / lead";"Nytt köp/ potentiell kund";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Affiliate - Ny Användare  Registrering Godkänd ";"B";"";"T";"N"
", welcome to our affiliate program";", Välkommen till vårt affiliate program";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Affiliate - Ny Användare Registrera dig Innan Godkännande";"B";"";"T";"N"
"Paid amount";"Betalat belopp";"S";"";"T";"N"
"Paid currency";"Betalad valuta";"S";"";"T";"N"
"Payout method";"Betalningsmetod";"B";"";"T";"N"
"Affiliate - On payout";"Affiliate - Under utbetalning";"B";"";"T";"N"
"Your commissions";"Din provision";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Affiliate - Nytt Subaffiliate köp/ potentiell kund";"B";"";"T";"N"
"New subaffiliate sale / lead";"Nytt subaffiliate köp / potentiell kund";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Affiliate - Ny Subaffiliate registrering";"B";"";"T";"N"
"New subaffiliate signed up";"Ny Subaffiliate registrering";"B";"";"T";"N"
"VAT percentage";"VAT procent ";"B";"";"T";"N"
"VAT number";"VAT nummer";"B";"";"T";"N"
"Registration number";"Registreringsnummer";"B";"";"T";"N"
"VAT part";"VAT del";"B";"";"T";"N"
"Payment incl. VAT";"Betalning inkl. VAT";"B";"";"T";"N"
"Payment excl. VAT";"Betalning exkl. VAT";"B";"";"T";"N"
"Affiliate - On VAT payout";"Affiliate - Under VAT utbetalning";"B";"";"T";"N"
"Transaction ID";"Transaktions-ID";"B";"";"T";"N"
"TotalCost";"Total kostnad";"S";"";"T";"N"
"Campaign ID";"Kampanj ID";"S";"";"T";"N"
"Referer URL";"Hänvisande url";"S";"";"T";"N"
"First click - time";"Första klick - tid";"S";"";"T";"N"
"First click - referer";"Första klick - hänvisare";"S";"";"T";"N"
"First click - IP";"Första klick - IP";"S";"";"T";"N"
"First click - data1";"Första klick - data1";"S";"";"T";"N"
"First click - data2";"Första klick - data2";"S";"";"T";"N"
"Last click - time";"Sista klick - tid";"S";"";"T";"N"
"Last click - referer";"Sista klick - hänvisare";"S";"";"T";"N"
"Last click - IP";"Sista klick - IP";"S";"";"T";"N"
"Last click - data1";"Sista klick - data1";"S";"";"T";"N"
"Last click - data2";"Sista klick - data2";"S";"";"T";"N"
"Transaction data1";"Transaktion data1";"S";"";"T";"N"
"Transaction data2";"Transaktion data2";"S";"";"T";"N"
"Transaction data3";"Transaktion data3";"S";"";"T";"N"
"Transaction data4";"Transaktion data4";"S";"";"T";"N"
"Transaction data5";"Transaktion data5";"S";"";"T";"N"
"Note to merchant";"Meddelande till manager";"S";"";"T";"N"
"Original currency";"Ursprunglig valuta";"S";"";"T";"N"
"Banner does not exist";"Banner existerar inte";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Server fel: Okänd typ angiven för BannerForm._spara()";"S";"";"T";"N"
"Banner was saved";"Banner sparades";"S";"";"T";"N"
"Clicks";"Klick";"B";"";"T";"N"
"CTR";"CTR";"S";"";"N";"N"
"Order";"Order";"B";"";"N";"N"
"BannersImportExportDescription";"Banners definitioner - notera att detta enbart importerar/exporterar definitionerna, inte fysiska bilder eller filer";"B";"";"T";"N"
"Campaign does not exist";"Kampanj existerar inte";"S";"";"T";"N"
"Campaign capping saved";"Kampanjtak sparat";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Antal transaktioner i ""aktiv tills"" kampanjens giltighet måste anges";"S";"";"T";"N"
