"source";"translation";"type";"module";"status";"customer"
"lang_code";"vi";"M";"";"T";"N"
"lang_name";"Tiếng Việt";"M";"";"T";"N"
"lang_english_name";"Tiếng Việt";"M";"";"T";"N"
"lang_author";"Truong Ton Corporation";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"64";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"Giấy phép";"S";"";"T";"N"
"You have to agree license.";"Bạn phải chấp nhận điều khoản của giấy phép.";"B";"";"T";"N"
"Installation Completed";"Cài đặt hoàn tất";"B";"";"T";"N"
"Safe Mode";"Chế độ an toàn";"S";"";"T";"N"
"Display Errors";"Hiển thị lỗi";"S";"";"T";"N"
"File Uploads";"Tải lên tập tin";"S";"";"T";"N"
"Register Globals";"Đăng ký Globals";"S";"";"T";"N"
"Session Auto Start";"Session Auto Start";"S";"";"N";"N"
"On";"Mở";"B";"";"T";"N"
"Off";"Tắt";"B";"";"T";"N"
"Configuration directory is writable";"Thư mục cấu hình có thể ghi";"S";"";"T";"N"
"Configuration directory has to be writable";"Thư mục cấu hình phải ghi được";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"Xin vui lòng làm cho thư mục %s và tất cả các thư mục con có thể ghi bởi máy chủ web.";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"Trên các hệ thống họ unix bạn có thể gõ ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"Trên bất kỳ hệ thống nào, bạn có thể thiết lập quyền ghi bằng cách sử dụng chương trình FTP Client yêu thích của bạn.";"S";"";"T";"N"
"PHP include path";"Đường dẫn tích hợp PHP";"S";"";"T";"N"
"Could not set PHP include path";"Không thể thiết lập đường dẫn tích hợp PHP";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"Vui lòng cấu hình PHP để script có thể thay đổi include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Hoặc bạn có thể thiết lập include_path trong file php.ini của bạn. include_path =%s";"S";"";"T";"N"
