"source";"translation";"type";"module";"status";"customer"
"lang_code";"zh-TW";"M";"";"T";"N"
"lang_name";"簡體中文";"M";"";"T";"N"
"lang_english_name";"Traditional Chinese";"M";"";"T";"N"
"lang_author";"4418.com";"M";"";"T";"N"
"lang_version";"5.5.5.2";"M";"";"T";"N"
"lang_date_format";"MM/d/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_thousands_separator";" ";"M";"";"T";"N"
"lang_decimal_separator";".";"M";"";"T";"N"
"lang_translation_percentage";"63";"M";"";"T";"N"
"lang_text_direction";"L";"M";"";"T";"N"
"License";"許可證";"S";"";"T";"N"
"You have to agree license.";"您必須同意此許可證。";"B";"";"T";"N"
"Installation Completed";"安裝完成";"B";"";"T";"N"
"Safe Mode";"安全模式";"S";"";"T";"N"
"Display Errors";"顯示錯誤";"S";"";"T";"N"
"File Uploads";"文件上傳";"S";"";"T";"N"
"Register Globals";"全域註冊";"S";"";"T";"N"
"Session Auto Start";"對話自動開始";"S";"";"T";"N"
"On";"啟動";"B";"";"T";"N"
"Off";"關閉";"B";"";"T";"N"
"Configuration directory is writable";"配置目錄是可寫的";"S";"";"T";"N"
"Configuration directory has to be writable";"配置目錄必須是可寫的";"S";"";"T";"N"
"Please make directory %s and all subdirectories writable by webserver.";"請使所有的目錄%s和子目錄可以被伺服器寫入。";"S";"";"T";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"在類Unix的系統中你可以鍵入 ""chmod -R 777 %s"".";"S";"";"T";"N"
"On any system you can set write permissions using your favourite FTP client.";"你可以使用您喜歡的FTP軟體用戶端在任何系統中設置寫入許可權。";"S";"";"T";"N"
"PHP include path";"包含PHP檔的路徑";"S";"";"T";"N"
"Could not set PHP include path";"不能設置包含PHP檔的路徑";"S";"";"T";"N"
"Please configure your PHP so that script is able to change include_path.";"為使腳本能改變include_path參數，請配置您的PHP。";"S";"";"T";"N"
